plant,split,extremeness,rank
4377,train,1.6618,0.1844
4378,train,2.1005,0.4169
4379,train,1.4993,0.1201
4380,train,0.9292,0.0107
4381,train,2.0453,0.3840
4382,train,1.9337,0.3221
4383,train,1.3465,0.0762
4384,train,2.8053,0.7679
4385,train,2.5617,0.6655
4386,train,0.6389,0.0012
4387,train,2.2557,0.5072
4388,train,2.4911,0.6299
4389,train,2.5288,0.6478
4390,train,1.4580,0.1068
4391,train,1.6382,0.1743
4392,train,3.2960,0.8987
4393,train,1.6941,0.1969
4394,train,1.3152,0.0681
4395,train,1.2664,0.0559
4396,val,3.1645,0.8735
4397,train,1.9051,0.3062
4398,train,2.2964,0.5291
4399,test,2.6168,0.6941
4400,train,3.1601,0.8727
4401,train,1.8955,0.3015
4402,train,1.5661,0.1453
4403,train,2.0159,0.3665
4404,train,1.4711,0.1106
4405,train,2.1601,0.4520
4406,train,1.2968,0.0628
4407,val,2.7605,0.7523
4408,test,2.5710,0.6714
4409,test,2.3710,0.5681
4410,train,2.6210,0.6958
4411,train,3.3044,0.9002
4412,val,3.9658,0.9705
4413,train,2.3529,0.5598
4414,train,1.4343,0.0992
4415,test,2.3263,0.5454
4416,test,2.7343,0.7430
4417,train,1.8435,0.2726
4418,test,1.9378,0.3244
4419,train,1.4506,0.1042
4420,val,2.9368,0.8128
4421,train,2.7065,0.7324
4422,train,3.1703,0.8751
4423,train,2.3288,0.5465
4424,train,1.7076,0.2027
4425,test,3.8288,0.9613
4426,train,2.4117,0.5896
4427,train,1.5177,0.1277
4428,train,2.0786,0.4030
4429,train,3.6145,0.9423
4430,train,1.2653,0.0557
4431,train,1.0205,0.0190
4432,train,2.0237,0.3713
4433,train,1.4744,0.1117
4434,train,1.4085,0.0912
4435,val,2.7258,0.7394
4436,train,1.6484,0.1787
4437,val,3.1941,0.8805
4438,val,2.7063,0.7323
4439,train,1.5554,0.1411
4440,train,2.8540,0.7852
4441,test,2.3086,0.5358
4442,train,2.8304,0.7771
4443,train,2.6451,0.7068
4444,val,4.0233,0.9733
4445,train,2.5381,0.6539
4446,train,2.2651,0.5124
4447,train,2.7951,0.7650
4448,train,1.8957,0.3016
4449,train,1.6691,0.1874
4450,train,1.9121,0.3103
4451,train,2.5963,0.6840
4452,train,1.6404,0.1751
4453,train,2.4396,0.6044
4454,test,1.7651,0.2326
4455,train,1.9710,0.3424
4456,train,1.3265,0.0711
4457,val,1.8096,0.2548
4458,train,2.2928,0.5270
4459,train,1.7027,0.1997
4460,train,2.1073,0.4204
4461,val,1.6109,0.1631
4462,val,2.1922,0.4726
4463,train,1.1957,0.0427
4464,train,1.3131,0.0675
4465,train,1.6382,0.1743
4466,test,2.2752,0.5176
4467,train,2.0907,0.4100
4468,test,2.9132,0.8053
4469,train,1.5750,0.1492
4470,train,2.8186,0.7727
4471,train,1.6408,0.1752
4472,train,2.1835,0.4674
4473,train,1.8793,0.2926
4474,train,2.0156,0.3663
4475,train,1.2876,0.0607
4476,val,5.0336,0.9959
4477,train,2.5686,0.6698
4478,train,2.8185,0.7725
4479,train,2.3817,0.5743
4480,train,1.8897,0.2987
4481,train,2.0394,0.3814
4482,train,2.0356,0.3792
4483,test,2.1118,0.4230
4484,train,4.8356,0.9937
4485,train,2.4356,0.6024
4486,test,3.4368,0.9211
4487,train,1.9629,0.3373
4488,train,2.4367,0.6030
4489,train,2.9548,0.8185
4490,train,2.5467,0.6577
4491,train,2.5924,0.6822
4492,train,0.9012,0.0092
4493,train,2.0996,0.4159
4494,train,1.0928,0.0279
4495,train,1.6888,0.1947
4496,val,2.9453,0.8151
4497,train,1.9115,0.3100
4498,train,1.6758,0.1894
4499,train,1.9245,0.3175
4500,train,1.2232,0.0466
4501,test,2.8312,0.7774
4502,val,3.1861,0.8787
4503,train,1.4560,0.1064
4504,test,2.1001,0.4166
4505,test,2.6337,0.7014
4506,val,2.5371,0.6535
4507,train,2.4344,0.6020
4508,train,1.9472,0.3294
4509,train,1.4506,0.1041
4510,train,1.7176,0.2069
4511,train,1.6548,0.1815
4512,train,2.1750,0.4628
4513,train,0.9059,0.0095
4514,val,3.2033,0.8827
4515,train,1.7706,0.2359
4516,train,1.9918,0.3535
4517,train,2.1724,0.4609
4518,test,1.9614,0.3366
4519,train,2.7523,0.7495
4520,test,3.5089,0.9300
4521,train,1.3833,0.0845
4522,train,1.9006,0.3042
4523,train,2.6313,0.7004
4524,train,1.8347,0.2680
4525,test,3.8815,0.9652
4526,test,3.3912,0.9150
4527,train,2.4672,0.6174
4528,test,4.4773,0.9883
4529,train,2.1723,0.4608
4530,train,1.6365,0.1734
4531,train,1.3534,0.0779
4532,train,2.4404,0.6051
4533,val,1.7836,0.2414
4534,train,2.2746,0.5170
4535,train,2.0280,0.3744
4536,val,2.7853,0.7610
4537,val,3.9731,0.9713
4538,test,2.8632,0.7878
4539,train,1.9887,0.3515
4540,train,2.5541,0.6614
4541,val,3.1516,0.8707
4542,test,2.9379,0.8133
4543,train,1.5982,0.1576
4544,train,2.2031,0.4787
4545,train,2.0144,0.3655
4546,train,1.4547,0.1059
4547,train,3.6561,0.9459
4548,train,1.4419,0.1019
4549,train,1.6292,0.1711
4550,train,1.9329,0.3216
4551,train,1.5837,0.1523
4552,test,2.5916,0.6816
4553,train,1.5114,0.1252
4554,train,1.7655,0.2329
4555,test,3.7947,0.9585
4556,train,2.0563,0.3897
4557,val,2.8655,0.7889
4558,train,1.1678,0.0389
4559,val,2.1843,0.4683
4560,train,1.8195,0.2591
4561,train,2.2357,0.4974
4562,train,1.5485,0.1385
4563,train,1.5848,0.1531
4564,test,2.9095,0.8040
4565,train,2.3611,0.5642
4566,train,2.0382,0.3808
4567,train,2.1343,0.4338
4568,train,2.4036,0.5862
4569,test,2.9759,0.8257
4570,train,2.5950,0.6833
4571,train,1.3170,0.0687
4572,val,2.1546,0.4470
4573,val,1.8051,0.2520
4574,train,1.9709,0.3423
4575,train,3.2298,0.8873
4576,train,2.9119,0.8047
4577,val,2.0320,0.3766
4578,val,3.7841,0.9575
4579,train,2.1024,0.4177
4580,train,2.1488,0.4432
4581,train,2.5228,0.6454
4582,train,0.9822,0.0155
4583,test,3.7661,0.9554
4584,train,1.9121,0.3104
4585,train,2.0575,0.3909
4586,test,2.5408,0.6553
4587,train,2.4112,0.5892
4588,test,3.1332,0.8658
4589,train,1.9254,0.3180
4590,test,2.6863,0.7240
4591,train,2.1837,0.4679
4592,train,1.1041,0.0293
4593,train,2.1597,0.4519
4594,train,2.4326,0.6010
4595,train,1.1445,0.0342
4596,train,2.2133,0.4837
4597,val,2.7237,0.7386
4598,val,3.2633,0.8928
4599,train,2.3898,0.5788
4600,train,1.4286,0.0973
4601,train,1.8288,0.2644
4602,train,2.7799,0.7595
4603,train,1.4947,0.1183
4604,test,2.4714,0.6198
4605,val,3.2477,0.8905
4606,train,1.7877,0.2437
4607,test,3.8264,0.9611
4608,train,1.0417,0.0216
4609,train,2.3998,0.5848
4610,train,1.4058,0.0904
4611,test,2.5743,0.6726
4612,train,1.9660,0.3392
4613,val,2.1962,0.4750
4614,train,2.1636,0.4538
4615,test,4.0182,0.9729
4616,train,1.0654,0.0246
4617,val,3.1161,0.8627
4618,train,3.1454,0.8692
4619,test,2.9015,0.8011
4620,train,2.6859,0.7237
4621,train,1.3029,0.0645
4622,train,2.1726,0.4610
4623,train,1.4693,0.1099
4624,train,1.7262,0.2113
4625,train,2.6499,0.7087
4626,train,2.8373,0.7792
4627,train,1.9072,0.3072
4628,train,1.4647,0.1086
4629,test,2.4291,0.5991
4630,train,1.5280,0.1316
4631,train,2.4269,0.5984
4632,train,2.2002,0.4770
4633,test,4.1731,0.9801
4634,train,1.2253,0.0469
4635,train,1.7563,0.2270
4636,val,2.1443,0.4404
4637,train,3.1028,0.8600
4638,train,2.0817,0.4051
4639,train,2.8608,0.7871
4640,train,2.2172,0.4862
4641,train,2.1080,0.4207
4642,train,3.0619,0.8494
4643,test,2.6885,0.7248
4644,train,1.7802,0.2397
4645,train,1.7957,0.2479
4646,val,2.8388,0.7802
4647,train,1.8318,0.2661
4648,val,2.7882,0.7627
4649,train,1.7672,0.2340
4650,test,4.1337,0.9787
4651,val,3.1748,0.8762
4652,train,1.7414,0.2182
4653,test,4.3133,0.9841
4654,test,2.3475,0.5566
4655,val,2.5292,0.6480
4656,train,1.5272,0.1311
4657,test,2.4422,0.6068
4658,train,1.8327,0.2668
4659,train,1.7758,0.2375
4660,train,2.5895,0.6802
4661,train,0.9673,0.0139
4662,train,1.8115,0.2554
4663,test,2.5526,0.6609
4664,train,2.3773,0.5720
4665,train,2.0135,0.3646
4666,train,3.1050,0.8608
4667,train,1.9344,0.3226
4668,train,2.8997,0.8003
4669,val,3.7897,0.9581
4670,train,1.8611,0.2829
4671,train,1.6296,0.1713
4672,train,1.7175,0.2068
4673,val,2.3834,0.5754
4674,train,1.5472,0.1379
4675,train,2.4661,0.6170
4676,test,3.8733,0.9647
4677,train,2.0623,0.3929
4678,val,3.2633,0.8927
4679,train,1.9449,0.3284
4680,train,1.8830,0.2954
4681,train,2.2964,0.5292
4682,train,1.3466,0.0763
4683,train,2.6639,0.7148
4684,test,3.3828,0.9135
4685,train,1.7964,0.2485
4686,train,2.1235,0.4287
4687,train,7.1898,0.9999
4688,test,2.2678,0.5136
4689,train,3.0264,0.8399
4690,train,2.1751,0.4630
4691,train,2.7627,0.7534
4692,train,1.4689,0.1096
4693,train,1.1534,0.0363
4694,train,1.6495,0.1792
4695,train,3.0699,0.8515
4696,train,1.9120,0.3102
4697,test,2.2641,0.5114
4698,train,1.4130,0.0928
4699,train,1.4985,0.1201
4700,val,2.6819,0.7220
4701,train,1.5119,0.1255
4702,val,2.7774,0.7587
4703,train,2.0361,0.3794
4704,test,3.1428,0.8684
4705,train,1.6842,0.1928
4706,train,1.2269,0.0472
4707,val,2.7500,0.7484
4708,test,2.7050,0.7319
4709,train,1.6549,0.1815
4710,test,3.2507,0.8909
4711,test,2.0741,0.3999
4712,val,3.2778,0.8959
4713,test,4.2525,0.9826
4714,val,3.4811,0.9270
4715,train,1.1551,0.0369
4716,test,4.2326,0.9817
4717,val,3.3663,0.9107
4718,train,1.9514,0.3314
4719,test,3.4770,0.9267
4720,val,3.6973,0.9495
4721,train,1.9416,0.3268
4722,train,3.0264,0.8398
4723,train,2.0518,0.3877
4724,test,3.1256,0.8645
4725,train,2.0692,0.3976
4726,train,1.3108,0.0671
4727,train,1.3132,0.0675
4728,test,2.2617,0.5098
4729,train,2.0496,0.3863
4730,train,3.1113,0.8621
4731,train,2.3072,0.5347
4732,train,1.6715,0.1883
4733,train,3.1110,0.8619
4734,train,1.3601,0.0794
4735,train,2.5956,0.6837
4736,train,2.3992,0.5845
4737,train,1.2825,0.0595
4738,train,0.8894,0.0085
4739,train,1.0512,0.0227
4740,train,2.0351,0.3788
4741,train,1.8861,0.2968
4742,val,1.9632,0.3375
4743,train,1.9163,0.3125
4744,test,1.7851,0.2423
4745,train,0.8650,0.0073
4746,val,3.2046,0.8830
4747,train,2.6341,0.7015
4748,train,2.3859,0.5764
4749,train,1.7066,0.2021
4750,train,2.2045,0.4796
4751,test,3.0188,0.8378
4752,val,2.4380,0.6035
4753,val,3.7739,0.9565
4754,train,2.1735,0.4616
4755,train,2.2014,0.4777
4756,test,3.3833,0.9136
4757,train,2.1467,0.4421
4758,train,3.7100,0.9507
4759,test,2.6779,0.7204
4760,test,3.3721,0.9119
4761,train,3.2681,0.8945
4762,train,1.6538,0.1812
4763,train,1.5499,0.1392
4764,train,2.4533,0.6110
4765,train,1.8513,0.2781
4766,train,2.5363,0.6529
4767,train,2.2935,0.5274
4768,train,2.1187,0.4262
4769,train,1.7669,0.2336
4770,train,1.7182,0.2072
4771,train,1.9787,0.3461
4772,train,1.6921,0.1964
4773,train,0.6921,0.0020
4774,test,3.1491,0.8701
4775,train,2.7064,0.7324
4776,train,2.1082,0.4209
4777,train,1.3060,0.0657
4778,train,2.2829,0.5218
4779,train,2.5308,0.6494
4780,train,2.2117,0.4828
4781,train,2.3281,0.5462
4782,train,1.5811,0.1512
4783,test,2.4691,0.6184
4784,train,2.4827,0.6261
4785,train,1.9852,0.3497
4786,train,1.7063,0.2019
4787,train,3.2642,0.8933
4788,train,2.3230,0.5438
4789,train,1.8065,0.2528
4790,train,1.6072,0.1613
4791,train,0.7328,0.0027
4792,train,1.8257,0.2626
4793,test,2.6241,0.6969
4794,val,2.3969,0.5827
4795,train,2.8180,0.7723
4796,train,2.1117,0.4230
4797,val,2.8730,0.7912
4798,test,4.7933,0.9932
4799,test,2.3600,0.5634
4800,val,3.0093,0.8355
4801,train,1.8747,0.2897
4802,val,1.6426,0.1761
4803,train,2.1096,0.4218
4804,test,3.5884,0.9396
4805,val,2.5070,0.6385
4806,train,2.9012,0.8009
4807,val,3.2947,0.8984
4808,val,2.5675,0.6696
4809,val,2.8251,0.7753
4810,test,2.9872,0.8295
4811,train,2.0519,0.3879
4812,train,0.7466,0.0031
4813,train,1.5703,0.1474
4814,train,3.0209,0.8385
4815,test,2.2631,0.5109
4816,train,1.2719,0.0569
4817,train,1.8707,0.2873
4818,val,1.8808,0.2940
4819,train,2.4333,0.6012
4820,test,3.0520,0.8469
4821,val,3.6387,0.9441
4822,val,1.5492,0.1390
4823,val,1.5351,0.1337
4824,train,1.5507,0.1394
4825,test,1.7440,0.2201
4826,train,1.9041,0.3058
4827,train,1.7670,0.2337
4828,val,3.2681,0.8946
4829,train,1.0778,0.0259
4830,train,1.5172,0.1275
4831,train,2.7541,0.7498
4832,train,2.7326,0.7427
4833,train,1.6867,0.1941
4834,train,2.5103,0.6398
4835,train,1.5651,0.1449
4836,test,4.5649,0.9901
4837,train,1.6657,0.1859
4838,train,1.2033,0.0437
4839,val,2.2002,0.4770
4840,train,2.3629,0.5651
4841,train,1.9767,0.3451
4842,train,2.2605,0.5093
4843,val,2.5770,0.6744
4844,train,1.2781,0.0583
4845,val,3.0440,0.8451
4846,train,2.6754,0.7190
4847,val,2.8690,0.7899
4848,test,2.6351,0.7019
4849,train,1.6835,0.1923
4850,train,1.4885,0.1164
4851,train,1.4996,0.1204
4852,train,2.0081,0.3620
4853,train,1.4238,0.0951
4854,val,2.8047,0.7677
4855,train,1.7907,0.2453
4856,train,1.3832,0.0845
4857,train,1.1951,0.0424
4858,train,1.7779,0.2387
4859,train,1.3630,0.0803
4860,train,3.4947,0.9282
4861,train,1.4251,0.0957
4862,val,2.8452,0.7823
4863,test,3.6544,0.9457
4864,val,1.7690,0.2347
4865,train,2.1307,0.4320
4866,val,3.9880,0.9717
4867,train,1.8736,0.2892
4868,train,2.7441,0.7464
4869,train,2.1457,0.4413
4870,train,2.1655,0.4554
4871,train,3.2447,0.8902
4872,train,2.4992,0.6344
4873,test,2.0354,0.3790
4874,train,2.6574,0.7123
4875,train,2.0317,0.3763
4876,train,2.8082,0.7693
4877,train,1.6271,0.1705
4878,train,1.6337,0.1726
4879,train,2.2254,0.4910
4880,train,2.0822,0.4052
4881,train,1.5491,0.1389
4882,train,1.9233,0.3167
4883,train,2.0486,0.3857
4884,train,2.3775,0.5722
4885,test,2.8921,0.7977
4886,train,2.6306,0.7000
4887,val,3.8903,0.9660
4888,val,3.5436,0.9351
4889,train,2.1992,0.4766
4890,train,2.2964,0.5293
4891,train,1.7200,0.2077
4892,train,1.6385,0.1744
4893,train,1.6551,0.1816
4894,val,2.6451,0.7067
4895,train,2.5243,0.6460
4896,val,3.3034,0.9001
4897,val,2.2811,0.5208
4898,train,2.4973,0.6330
4899,train,2.2534,0.5055
4900,val,2.9366,0.8127
4901,val,2.5323,0.6506
4902,train,3.0566,0.8480
4903,test,2.0925,0.4112
4904,test,3.0511,0.8469
4905,train,2.9942,0.8312
4906,train,1.6376,0.1740
4907,test,4.2001,0.9807
4908,test,2.7111,0.7337
4909,train,1.8755,0.2902
4910,train,1.2747,0.0575
4911,test,2.3831,0.5752
4912,train,0.8601,0.0071
4913,train,2.4232,0.5964
4914,train,2.2787,0.5196
4915,train,1.6311,0.1719
4916,val,4.1165,0.9777
4917,train,1.4196,0.0940
4918,train,2.3668,0.5664
4919,train,1.5650,0.1447
4920,train,1.7589,0.2289
4921,train,2.4145,0.5911
4922,train,1.1272,0.0319
4923,train,2.4769,0.6223
4924,train,1.8512,0.2780
4925,train,2.1003,0.4166
4926,val,2.8718,0.7909
4927,test,3.2191,0.8854
4928,test,2.6262,0.6980
4929,test,2.8118,0.7704
4930,test,3.5367,0.9341
4931,test,3.1984,0.8815
4932,train,0.9669,0.0139
4933,train,2.2037,0.4791
4934,train,2.3839,0.5756
4935,train,1.4039,0.0897
4936,train,1.7414,0.2181
4937,train,1.3490,0.0766
4938,test,2.9735,0.8249
4939,train,1.6172,0.1661
4940,train,1.9081,0.3081
4941,test,2.4027,0.5861
4942,train,1.7048,0.2007
4943,train,1.7751,0.2374
4944,val,2.9897,0.8305
4945,train,2.4245,0.5970
4946,test,3.5297,0.9331
4947,test,2.6943,0.7270
4948,test,1.9796,0.3467
4949,train,2.0982,0.4147
4950,train,2.7682,0.7555
4951,val,2.2217,0.4887
4952,val,2.6803,0.7214
4953,val,1.7537,0.2259
4954,train,1.5917,0.1558
4955,train,2.0752,0.4007
4956,train,1.4985,0.1200
4957,train,1.7619,0.2307
4958,train,1.3757,0.0834
4959,train,1.6429,0.1763
4960,train,2.0610,0.3926
4961,train,2.6948,0.7272
4962,test,3.1562,0.8717
4963,test,4.1388,0.9790
4964,train,1.0581,0.0239
4965,train,2.3655,0.5659
4966,train,1.0164,0.0186
4967,train,1.0750,0.0255
4968,train,1.9270,0.3185
4969,train,1.7458,0.2211
4970,train,1.5267,0.1307
4971,train,2.3823,0.5748
4972,train,1.6630,0.1851
4973,train,1.6726,0.1885
4974,val,2.1549,0.4474
4975,train,2.0661,0.3955
4976,train,1.7496,0.2234
4977,val,2.4288,0.5990
4978,val,3.0390,0.8436
4979,train,3.7031,0.9499
4980,test,3.5967,0.9404
4981,val,2.4988,0.6340
4982,train,1.8206,0.2602
4983,train,1.7311,0.2135
4984,train,2.4389,0.6040
4985,val,3.7943,0.9585
4986,test,3.2267,0.8869
4987,train,2.0941,0.4123
4988,train,2.0325,0.3769
4989,train,3.2695,0.8948
4990,train,2.8748,0.7919
4991,train,2.2747,0.5171
4992,val,2.9468,0.8154
4993,train,1.7775,0.2385
4994,train,3.1859,0.8787
4995,train,2.6984,0.7295
4996,train,1.7964,0.2484
4997,train,1.0837,0.0265
4998,test,2.8818,0.7938
4999,train,2.3601,0.5636
5000,test,1.5138,0.1264
5001,train,0.8396,0.0061
5002,train,0.5465,0.0005
5003,train,4.3322,0.9845
5004,val,2.9056,0.8026
5005,test,3.6653,0.9468
5006,train,1.4296,0.0977
5007,train,1.4306,0.0981
5008,train,2.5356,0.6524
5009,test,2.2932,0.5272
5010,test,2.1068,0.4200
5011,test,2.9257,0.8099
5012,train,1.5805,0.1509
5013,val,2.2520,0.5050
5014,train,1.7759,0.2377
5015,train,2.2367,0.4977
5016,train,2.4407,0.6054
5017,train,2.5446,0.6570
5018,train,1.8595,0.2820
5019,train,2.8399,0.7805
5020,val,4.2097,0.9809
5021,train,1.9416,0.3267
5022,train,2.2821,0.5214
5023,train,2.0202,0.3694
5024,train,2.2283,0.4928
5025,train,0.7353,0.0029
5026,train,4.0574,0.9751
5027,train,2.3663,0.5662
5028,train,2.2786,0.5194
5029,train,2.0704,0.3981
5030,train,2.2477,0.5030
5031,train,1.5314,0.1326
5032,train,1.0549,0.0232
5033,train,2.9322,0.8112
5034,train,2.6941,0.7268
5035,train,2.7632,0.7538
5036,train,2.4204,0.5945
5037,train,2.1141,0.4240
5038,train,1.6902,0.1956
5039,test,2.7875,0.7623
5040,train,1.9094,0.3089
5041,train,2.1499,0.4439
5042,test,2.8543,0.7853
5043,val,2.0003,0.3580
5044,train,1.2842,0.0599
5045,train,1.0996,0.0286
5046,train,2.8385,0.7800
5047,train,0.8848,0.0083
5048,train,2.0886,0.4092
5049,train,1.9588,0.3356
5050,val,2.8554,0.7856
5051,train,1.6889,0.1949
5052,val,2.5991,0.6857
5053,test,2.7628,0.7535
5054,train,2.3297,0.5472
5055,train,1.2199,0.0461
5056,train,1.1512,0.0356
5057,val,1.9182,0.3138
5058,train,2.1461,0.4414
5059,val,1.5169,0.1273
5060,test,2.5499,0.6593
5061,train,1.5830,0.1520
5062,train,2.3102,0.5370
5063,val,1.9421,0.3272
5064,train,1.9227,0.3162
5065,train,3.3752,0.9125
5066,val,2.8889,0.7965
5067,train,1.9502,0.3309
5068,test,2.2628,0.5104
5069,val,2.9457,0.8153
5070,train,2.3193,0.5420
5071,test,1.9864,0.3501
5072,train,2.0702,0.3980
5073,test,3.0230,0.8387
5074,train,2.5370,0.6534
5075,train,2.3902,0.5792
5076,val,1.8867,0.2971
5077,train,1.5388,0.1347
5078,train,2.1573,0.4493
5079,train,1.0871,0.0271
5080,test,2.9373,0.8130
5081,train,2.5220,0.6452
5082,train,1.2237,0.0467
5083,val,2.2257,0.4912
5084,train,2.1404,0.4382
5085,test,2.9516,0.8169
5086,test,2.3125,0.5385
5087,train,1.5908,0.1555
5088,train,2.4443,0.6080
5089,test,2.5883,0.6792
5090,train,2.6712,0.7176
5091,test,2.3250,0.5446
5092,train,3.1538,0.8711
5093,train,2.3100,0.5369
5094,test,2.5635,0.6668
5095,val,6.8685,0.9996
5096,train,1.8987,0.3032
5097,val,3.3001,0.8993
5098,test,1.7305,0.2133
5099,test,2.6962,0.7284
5100,train,1.0700,0.0250
5101,train,2.2126,0.4834
5102,train,2.6483,0.7080
5103,train,2.6200,0.6954
5104,test,2.5252,0.6464
5105,train,2.2262,0.4917
5106,train,2.0219,0.3701
5107,test,3.6480,0.9451
5108,train,2.0638,0.3938
5109,train,2.0058,0.3608
5110,train,2.1172,0.4255
5111,train,2.0100,0.3630
5112,val,3.1516,0.8706
5113,train,2.9430,0.8145
5114,train,1.8783,0.2916
5115,train,2.8477,0.7831
5116,train,2.0228,0.3710
5117,train,1.1075,0.0295
5118,train,1.4573,0.1067
5119,train,3.3206,0.9033
5120,train,2.6642,0.7150
5121,val,2.7938,0.7644
5122,test,2.0716,0.3986
5123,train,1.9685,0.3410
5124,train,1.7535,0.2256
5125,test,2.8618,0.7874
5126,train,2.4919,0.6300
5127,train,1.6181,0.1665
5128,train,1.3859,0.0854
5129,train,2.5115,0.6404
5130,train,2.9581,0.8197
5131,train,1.3941,0.0873
5132,val,2.3891,0.5785
5133,train,1.8166,0.2578
5134,train,1.8591,0.2818
5135,train,1.8310,0.2659
5136,train,2.4206,0.5947
5137,train,2.1262,0.4298
5138,test,3.8419,0.9623
5139,test,3.5882,0.9395
5140,train,2.3164,0.5407
5141,train,2.1864,0.4696
5142,train,2.0438,0.3834
5143,test,2.2737,0.5166
5144,train,1.3351,0.0730
5145,train,1.4605,0.1076
5146,val,3.4063,0.9169
5147,train,3.8284,0.9613
5148,train,1.9352,0.3232
5149,train,2.1978,0.4758
5150,train,2.3852,0.5760
5151,train,3.0647,0.8501
5152,train,1.7532,0.2254
5153,train,1.1605,0.0378
5154,train,1.5271,0.1309
5155,test,3.0130,0.8365
5156,train,1.8337,0.2678
5157,val,2.6138,0.6922
5158,train,2.4465,0.6089
5159,val,2.7640,0.7542
5160,val,3.1439,0.8686
5161,train,1.9686,0.3411
5162,train,1.7360,0.2160
5163,train,1.5334,0.1331
5164,train,2.6082,0.6897
5165,test,2.5469,0.6579
5166,val,3.9685,0.9710
5167,train,2.8796,0.7928
5168,train,1.6429,0.1762
5169,train,2.6927,0.7264
5170,test,3.2336,0.8880
5171,train,3.1445,0.8689
5172,train,1.0613,0.0243
5173,train,1.7993,0.2501
5174,val,2.5369,0.6534
5175,train,2.2599,0.5089
5176,train,2.5645,0.6674
5177,train,1.2894,0.0612
5178,train,3.7885,0.9581
5179,train,2.5623,0.6659
5180,val,2.1727,0.4612
5181,train,1.3449,0.0755
5182,test,2.2439,0.5013
5183,train,2.7507,0.7488
5184,test,2.9182,0.8076
5185,train,1.4926,0.1175
5186,test,2.6483,0.7081
5187,train,1.5796,0.1506
5188,train,1.9966,0.3557
5189,train,1.4669,0.1090
5190,train,1.5918,0.1559
5191,train,0.8935,0.0088
5192,val,2.7752,0.7579
5193,train,1.5004,0.1207
5194,train,2.0855,0.4073
5195,train,0.9736,0.0144
5196,val,2.2663,0.5130
5197,val,2.7905,0.7632
5198,train,2.3475,0.5568
5199,train,1.1334,0.0325
5200,test,2.3558,0.5614
5201,train,2.2040,0.4794
5202,test,2.4866,0.6281
5203,train,1.5774,0.1497
5204,val,2.4266,0.5980
5205,val,3.9366,0.9687
5206,train,1.2521,0.0525
5207,train,1.4048,0.0901
5208,train,3.9413,0.9693
5209,val,2.9375,0.8131
5210,train,1.9271,0.3186
5211,train,3.0560,0.8479
5212,train,2.2103,0.4820
5213,train,1.8739,0.2893
5214,val,3.8415,0.9622
5215,train,1.1579,0.0375
5216,train,2.7654,0.7548
5217,train,1.9574,0.3348
5218,train,1.4102,0.0919
5219,train,1.4411,0.1018
5220,test,4.1020,0.9773
5221,train,3.3312,0.9049
5222,test,3.2603,0.8920
5223,val,2.3190,0.5417
5224,train,3.7703,0.9559
5225,test,2.5184,0.6441
5226,val,2.4680,0.6178
5227,train,2.4177,0.5928
5228,train,1.1733,0.0397
5229,train,0.9289,0.0106
5230,train,2.0549,0.3892
5231,train,1.7483,0.2225
5232,train,1.6771,0.1903
5233,train,1.3149,0.0679
5234,train,1.8331,0.2674
5235,train,2.2535,0.5056
5236,train,2.8162,0.7717
5237,train,2.6771,0.7201
5238,val,2.4604,0.6146
5239,val,4.4428,0.9876
5240,test,4.0914,0.9769
5241,train,2.0988,0.4153
5242,test,3.5810,0.9388
5243,test,3.6115,0.9418
5244,train,1.4232,0.0950
5245,val,2.5541,0.6616
5246,train,2.4167,0.5924
5247,train,2.7415,0.7450
5248,train,2.1151,0.4244
5249,test,2.4451,0.6083
5250,train,2.8751,0.7920
5251,train,1.8860,0.2967
5252,train,1.9200,0.3152
5253,test,2.2801,0.5205
5254,val,2.5004,0.6350
5255,train,2.1213,0.4276
5256,train,2.3391,0.5521
5257,train,1.6476,0.1783
5258,train,1.1295,0.0321
5259,test,2.1465,0.4417
5260,train,2.8402,0.7807
5261,test,2.3866,0.5771
5262,train,1.2935,0.0621
5263,train,2.7926,0.7638
5264,train,2.4696,0.6189
5265,train,1.5691,0.1468
5266,train,1.8843,0.2960
5267,train,1.5705,0.1475
5268,train,1.8477,0.2756
5269,train,2.2281,0.4926
5270,train,2.5477,0.6583
5271,train,3.0092,0.8354
5272,test,3.1720,0.8757
5273,test,2.3210,0.5426
5274,val,1.4951,0.1185
5275,train,2.4103,0.5889
5276,train,2.4548,0.6117
5277,train,1.9782,0.3458
5278,train,1.9824,0.3478
5279,train,2.2024,0.4785
5280,train,1.8272,0.2636
5281,train,1.0159,0.0185
5282,test,2.1308,0.4322
5283,test,2.4258,0.5978
5284,val,4.0758,0.9762
5285,train,2.1895,0.4713
5286,val,2.7603,0.7520
5287,train,1.4292,0.0975
5288,train,2.4578,0.6134
5289,test,1.8027,0.2512
5290,val,5.0351,0.9959
5291,train,1.8330,0.2670
5292,train,2.0702,0.3980
5293,train,1.5268,0.1308
5294,train,2.1857,0.4690
5295,train,2.5338,0.6513
5296,train,1.7224,0.2090
5297,test,3.1445,0.8688
5298,train,2.3172,0.5409
5299,train,2.5316,0.6500
5300,train,1.7065,0.2019
5301,train,2.4832,0.6264
5302,train,2.0470,0.3850
5303,train,2.1835,0.4676
5304,test,2.5072,0.6386
5305,train,1.9467,0.3292
5306,train,2.0303,0.3757
5307,train,2.4879,0.6285
5308,val,2.9375,0.8131
